This Agency Report was generated on 9/18/2023 8:33:32 AM by the:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska Department of Fish and Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Tag & Age Laboratory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dfg.dcf.cwtstaff@alaska.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(907) 465-3483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PO BOX 115526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juneau AK 99811-5526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Criteria for this report included:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Years: 2023,2022,2021,2020,2019,2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
States: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agencies: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rearing codes: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release Location: %BERNERS%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release Site:%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species codes: 430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clip Status: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tag Status codes: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tag codes: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source codes: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gear codes: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harvest codes: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sampling Type codes: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"StatWeek CWT: 1,54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Does NOT include records with null Status Week values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Survey Site / Sport Rollup Area,Sample,Head,Sampling Type Code,Source,Sport Estimate Type,Harvest,Gear Class,Date (CWT),Stat Week (CWT),Period,Region,Water Type Code,Quadrant,Seine Area,District,Sub-District,A-Stream / Canada Watershed,Species,Clip Status,Length,Length Type Code,Tag Code,Tag Status,Why Status-7 Code,Year Brood,State,Agency,Rearing Code,Location (Facility or Wild Stock),Site,Tag Ratio Type,Tag Ratio,Subsample Factor,Expansion Factor,Contribution,Year Release,Release Stage
2018,BERNERS RIVER,18802005,83,S,JUVENILE,,,,5/19/2018,20,,1,F,NE,,115,20,115-20-10100,COHO,GOOD,91,1,401040409,OK,,2016,AK,ADFG,W,(W) BERNERS R 115-20,BERNERS R 115-20,SINGLE INDEX,1,,,,2017,EMERGENT FRY
2018,BERNERS RIVER,18802005,82,S,JUVENILE,,,,5/19/2018,20,,1,F,NE,,115,20,115-20-10100,COHO,GOOD,93,1,401040409,OK,,2016,AK,ADFG,W,(W) BERNERS R 115-20,BERNERS R 115-20,SINGLE INDEX,1,,,,2017,EMERGENT FRY
2018,BERNERS RIVER,18802007,89,S,JUVENILE,,,,5/21/2018,21,,1,F,NE,,115,20,115-20-10100,COHO,GOOD,86,1,401040409,OK,,2016,AK,ADFG,W,(W) BERNERS R 115-20,BERNERS R 115-20,SINGLE INDEX,1,,,,2017,EMERGENT FRY
2018,BERNERS RIVER,18802008,91,S,JUVENILE,,,,5/22/2018,21,,1,F,NE,,115,20,115-20-10100,COHO,GOOD,101,1,401040409,OK,,2016,AK,ADFG,W,(W) BERNERS R 115-20,BERNERS R 115-20,SINGLE INDEX,1,,,,2017,EMERGENT FRY
